GEO_id,GEO_id2,GEO_display_label,VD01
1400000US48029162002,48029162002,"Census Tract 1620.02, Bexar County, Texas",7700
1400000US48029170101,48029170101,"Census Tract 1701.01, Bexar County, Texas",4353
1400000US48029170102,48029170102,"Census Tract 1701.02, Bexar County, Texas",4523
1400000US48029170200,48029170200,"Census Tract 1702, Bexar County, Texas",6106
1400000US48029170300,48029170300,"Census Tract 1703, Bexar County, Texas",6307
1400000US48029170401,48029170401,"Census Tract 1704.01, Bexar County, Texas",4897
1400000US48029170402,48029170402,"Census Tract 1704.02, Bexar County, Texas",5348
1400000US48029170500,48029170500,"Census Tract 1705, Bexar County, Texas",4989
1400000US48029170600,48029170600,"Census Tract 1706, Bexar County, Texas",4785
1400000US48029170700,48029170700,"Census Tract 1707, Bexar County, Texas",5045
1400000US48029170800,48029170800,"Census Tract 1708, Bexar County, Texas",1784
1400000US48029170900,48029170900,"Census Tract 1709, Bexar County, Texas",4620
1400000US48029171000,48029171000,"Census Tract 1710, Bexar County, Texas",5859
1400000US48029171100,48029171100,"Census Tract 1711, Bexar County, Texas",3987
1400000US48029171200,48029171200,"Census Tract 1712, Bexar County, Texas",3807
1400000US48029171300,48029171300,"Census Tract 1713, Bexar County, Texas",7958
1400000US48029171400,48029171400,"Census Tract 1714, Bexar County, Texas",7046
1400000US48029171500,48029171500,"Census Tract 1715, Bexar County, Texas",7687
1400000US48029171600,48029171600,"Census Tract 1716, Bexar County, Texas",6051
1400000US48029171700,48029171700,"Census Tract 1717, Bexar County, Texas",7294
1400000US48029171801,48029171801,"Census Tract 1718.01, Bexar County, Texas",5166
1400000US48029171802,48029171802,"Census Tract 1718.02, Bexar County, Texas",6539
1400000US48029171902,48029171902,"Census Tract 1719.02, Bexar County, Texas",2780
1400000US48029171903,48029171903,"Census Tract 1719.03, Bexar County, Texas",6015
1400000US48029171906,48029171906,"Census Tract 1719.06, Bexar County, Texas",4292
1400000US48029171907,48029171907,"Census Tract 1719.07, Bexar County, Texas",6208
1400000US48029171908,48029171908,"Census Tract 1719.08, Bexar County, Texas",6962
1400000US48029171909,48029171909,"Census Tract 1719.09, Bexar County, Texas",4922
1400000US48029171910,48029171910,"Census Tract 1719.10, Bexar County, Texas",8906
1400000US48029171911,48029171911,"Census Tract 1719.11, Bexar County, Texas",12562
1400000US48029171912,48029171912,"Census Tract 1719.12, Bexar County, Texas",3993
1400000US48029172001,48029172001,"Census Tract 1720.01, Bexar County, Texas",8899
1400000US48029172002,48029172002,"Census Tract 1720.02, Bexar County, Texas",2112
1400000US48029180100,48029180100,"Census Tract 1801, Bexar County, Texas",7715
1400000US48029180201,48029180201,"Census Tract 1802.01, Bexar County, Texas",5136
1400000US48029180202,48029180202,"Census Tract 1802.02, Bexar County, Texas",5252
1400000US48029180300,48029180300,"Census Tract 1803, Bexar County, Texas",4640
1400000US48029180400,48029180400,"Census Tract 1804, Bexar County, Texas",4025
1400000US48029180501,48029180501,"Census Tract 1805.01, Bexar County, Texas",5231
1400000US48029180503,48029180503,"Census Tract 1805.03, Bexar County, Texas",4521
1400000US48029180504,48029180504,"Census Tract 1805.04, Bexar County, Texas",3810
1400000US48029180601,48029180601,"Census Tract 1806.01, Bexar County, Texas",7815
1400000US48029180602,48029180602,"Census Tract 1806.02, Bexar County, Texas",3264
1400000US48029180701,48029180701,"Census Tract 1807.01, Bexar County, Texas",4363
1400000US48029180702,48029180702,"Census Tract 1807.02, Bexar County, Texas",6951
1400000US48029180800,48029180800,"Census Tract 1808, Bexar County, Texas",3016
1400000US48029180901,48029180901,"Census Tract 1809.01, Bexar County, Texas",5140
1400000US48029180902,48029180902,"Census Tract 1809.02, Bexar County, Texas",7786
1400000US48029181001,48029181001,"Census Tract 1810.01, Bexar County, Texas",3325
1400000US48029181003,48029181003,"Census Tract 1810.03, Bexar County, Texas",5245
1400000US48029181004,48029181004,"Census Tract 1810.04, Bexar County, Texas",4049
1400000US48029181005,48029181005,"Census Tract 1810.05, Bexar County, Texas",4254
1400000US48029181100,48029181100,"Census Tract 1811, Bexar County, Texas",5845
1400000US48029181200,48029181200,"Census Tract 1812, Bexar County, Texas",4900
1400000US48029181301,48029181301,"Census Tract 1813.01, Bexar County, Texas",3328
1400000US48029181302,48029181302,"Census Tract 1813.02, Bexar County, Texas",5988
1400000US48029181303,48029181303,"Census Tract 1813.03, Bexar County, Texas",3689
1400000US48029181401,48029181401,"Census Tract 1814.01, Bexar County, Texas",8549
1400000US48029181402,48029181402,"Census Tract 1814.02, Bexar County, Texas",2022
1400000US48029181503,48029181503,"Census Tract 1815.03, Bexar County, Texas",4552
1400000US48029181504,48029181504,"Census Tract 1815.04, Bexar County, Texas",5317
1400000US48029181505,48029181505,"Census Tract 1815.05, Bexar County, Texas",4487
1400000US48029181506,48029181506,"Census Tract 1815.06, Bexar County, Texas",3832
1400000US48029181601,48029181601,"Census Tract 1816.01, Bexar County, Texas",3095
1400000US48029181602,48029181602,"Census Tract 1816.02, Bexar County, Texas",5798
1400000US48029181701,48029181701,"Census Tract 1817.01, Bexar County, Texas",1822
1400000US48029181703,48029181703,"Census Tract 1817.03, Bexar County, Texas",6217
1400000US48029181704,48029181704,"Census Tract 1817.04, Bexar County, Texas",5235
1400000US48029181705,48029181705,"Census Tract 1817.05, Bexar County, Texas",2121
1400000US48029181706,48029181706,"Census Tract 1817.06, Bexar County, Texas",6111
1400000US48029181711,48029181711,"Census Tract 1817.11, Bexar County, Texas",4737
1400000US48029181712,48029181712,"Census Tract 1817.12, Bexar County, Texas",3563
1400000US48029181713,48029181713,"Census Tract 1817.13, Bexar County, Texas",7075
1400000US48029181714,48029181714,"Census Tract 1817.14, Bexar County, Texas",11289
1400000US48029181715,48029181715,"Census Tract 1817.15, Bexar County, Texas",6707
1400000US48029181716,48029181716,"Census Tract 1817.16, Bexar County, Texas",7301
1400000US48029181717,48029181717,"Census Tract 1817.17, Bexar County, Texas",9004
1400000US48029181718,48029181718,"Census Tract 1817.18, Bexar County, Texas",4273
1400000US48029181719,48029181719,"Census Tract 1817.19, Bexar County, Texas",5367
1400000US48029181801,48029181801,"Census Tract 1818.01, Bexar County, Texas",6031
1400000US48029181803,48029181803,"Census Tract 1818.03, Bexar County, Texas",6568
1400000US48029181806,48029181806,"Census Tract 1818.06, Bexar County, Texas",4677
1400000US48029181807,48029181807,"Census Tract 1818.07, Bexar County, Texas",6882
1400000US48029181808,48029181808,"Census Tract 1818.08, Bexar County, Texas",1073
1400000US48029181809,48029181809,"Census Tract 1818.09, Bexar County, Texas",5605
1400000US48029181810,48029181810,"Census Tract 1818.10, Bexar County, Texas",6628
1400000US48029181811,48029181811,"Census Tract 1818.11, Bexar County, Texas",3377
1400000US48029181812,48029181812,"Census Tract 1818.12, Bexar County, Texas",11561
1400000US48029181900,48029181900,"Census Tract 1819, Bexar County, Texas",4859
1400000US48029182000,48029182000,"Census Tract 1820, Bexar County, Texas",3868
1400000US48029182101,48029182101,"Census Tract 1821.01, Bexar County, Texas",4215
1400000US48029182102,48029182102,"Census Tract 1821.02, Bexar County, Texas",3294
1400000US48029182103,48029182103,"Census Tract 1821.03, Bexar County, Texas",1689
1400000US48029182104,48029182104,"Census Tract 1821.04, Bexar County, Texas",3180
1400000US48029190100,48029190100,"Census Tract 1901, Bexar County, Texas",4036
1400000US48029190200,48029190200,"Census Tract 1902, Bexar County, Texas",4880
1400000US48029190300,48029190300,"Census Tract 1903, Bexar County, Texas",63
1400000US48029190400,48029190400,"Census Tract 1904, Bexar County, Texas",4093
1400000US48029190501,48029190501,"Census Tract 1905.01, Bexar County, Texas",3148
1400000US48029190502,48029190502,"Census Tract 1905.02, Bexar County, Texas",7158
1400000US48029190601,48029190601,"Census Tract 1906.01, Bexar County, Texas",3963
1400000US48029190602,48029190602,"Census Tract 1906.02, Bexar County, Texas",7619
1400000US48029190700,48029190700,"Census Tract 1907, Bexar County, Texas",3059
1400000US48029190800,48029190800,"Census Tract 1908, Bexar County, Texas",2343
